name,slug,address,location_id,court_count,surface_type,is_free,has_lights,has_restrooms,has_parking,nets_provided,latitude,longitude,description
Gulf Place Public Beach,gulf-place-public-beach-gulf-shores,"101 E Beach Blvd, Gulf Shores, AL 36542",al_gulf,4,sand,true,false,true,true,true,30.2460,-87.7008,"Gulf Shores' main public beach and home of the NCAA Beach Volleyball Championship. Features sand courts on the west side of the beach with pavilions and showers."
Alabama Gulf Coast Sports Center,alabama-gulf-coast-sports-center-gulf-shores,"19025 Oak Rd W, Gulf Shores, AL 36542",al_gulf,7,sand,false,true,true,true,true,30.2780,-87.7070,"A 38000 sq ft multipurpose sports facility at the Gulf Shores Sportsplex featuring 7 lighted outdoor sand volleyball courts."
Orange Beach Sportsplex,orange-beach-sportsplex-orange-beach,"4385 William Silvers Pkwy, Orange Beach, AL 36561",al_gulf,3,sand,true,false,true,true,true,30.2830,-87.5730,"Public sportsplex with a 3-court sand volleyball area and concession stands."
Flora-Bama Beach Volleyball,flora-bama-beach-volleyball-perdido-key,"17401 Perdido Key Dr, Perdido Key, FL 32507",al_gulf,3,sand,true,false,false,true,false,30.2810,-87.4470,"Beach volleyball courts adjacent to the world-famous Flora-Bama Lounge on the Alabama-Florida state line. Popular for casual games with live music nearby."
Beach House Volleyball,beach-house-volleyball-peoria,"16083 N 75th Ave, Peoria, AZ 85382",az_phoenix,6,indoor_sand,false,true,true,true,true,33.6428,-112.2271,"Arizona's first indoor air-conditioned beach volleyball facility with six professional sand courts plus a bar and grill."
Gene Autry Park Sand Courts,gene-autry-park-mesa,"4125 E McKellips Rd, Mesa, AZ 85215",az_phoenix,4,sand,true,true,true,true,true,33.4537,-111.7895,"Four lighted sand volleyball courts at a major Mesa sports complex available by reservation. Home to The Sand Club leagues."
Chaparral Park,chaparral-park-scottsdale,"5401 N Hayden Rd, Scottsdale, AZ 85250",az_phoenix,2,sand,true,true,true,true,true,33.5060,-111.9048,"Popular 100-acre Scottsdale park with two sand volleyball courts near the Central Ramada area."
Arizona Athletic Grounds,arizona-athletic-grounds-mesa,"6321 S Ellsworth Rd, Mesa, AZ 85212",az_phoenix,12,sand,false,true,true,true,true,33.3520,-111.6310,"Massive 275-acre sports complex with 12 outdoor beach volleyball courts hosting leagues and tournaments year-round."
Sports Park Tucson,sports-park-tucson,"6901 N Casa Grande Hwy, Tucson, AZ 85743",az_tucson,4,sand,false,true,true,true,true,32.3324,-111.0640,"Four sand volleyball courts at a multi-sport complex offering 2v2 4v4 and 6v6 leagues in southern Arizona."
Tucson Racquet and Fitness Club,tucson-racquet-club-tucson,"4001 N Country Club Rd, Tucson, AZ 85716",az_tucson,3,sand,false,true,true,true,true,32.2590,-110.9590,"Private 15-acre club with three lighted sand volleyball courts and year-round adult co-ed beach volleyball leagues."
University of Arizona Sand Courts,uofa-sand-courts-tucson,"1400 E 6th St, Tucson, AZ 85721",az_tucson,4,sand,true,false,true,true,true,32.2295,-110.9507,"Four sand volleyball courts at the Student Recreation Center available for open rec and events."
Manhattan Beach Pier Courts,manhattan-beach-pier-courts-manhattan-beach,"Manhattan Beach Pier, Manhattan Beach, CA 90266",socal_la,6,sand,true,false,true,true,true,33.8847,-118.4109,"Iconic beach volleyball courts on the south side of Manhattan Beach Pier. Home to the legendary Manhattan Beach Open."
Marine Street Courts,marine-street-courts-manhattan-beach,"Marine St & 24th St, Manhattan Beach, CA 90266",socal_la,12,sand,true,false,true,true,true,33.8905,-118.4130,"Premier sand volleyball courts between 23rd and 25th Streets. The main pickup volleyball destination in Manhattan Beach."
Hermosa Beach Pier Courts,hermosa-beach-pier-courts-hermosa-beach,"Pier Ave & The Strand, Hermosa Beach, CA 90254",socal_la,23,sand,true,false,true,true,true,33.8622,-118.3993,"Twenty-three city-maintained courts near the Hermosa Beach Pier. A true mecca for beach volleyball hosting major professional tournaments."
El Segundo Beach Courts,el-segundo-beach-courts-el-segundo,"Grand Ave & Vista Del Mar, El Segundo, CA 90245",socal_la,4,sand,true,false,true,true,true,33.9117,-118.4215,"Quieter sand volleyball courts on El Segundo Beach offering a less crowded alternative to neighboring Manhattan Beach courts."
Venice Beach Volleyball Courts,venice-beach-volleyball-courts-venice,"2100 Ocean Front Walk, Venice, CA 90291",socal_la,4,sand,true,false,true,true,true,33.9850,-118.4730,"Sand volleyball courts on Venice Beach between Venice Blvd and Washington Blvd along the iconic boardwalk."
Santa Monica Beach Pier Courts,santa-monica-beach-pier-courts-santa-monica,"1560 Appian Way, Santa Monica, CA 90401",socal_la,4,sand,true,true,true,true,true,34.0082,-118.4985,"Four illuminated sand volleyball courts near the Santa Monica Pier. One of the few LA beaches offering lighted courts for evening play."
